Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BHARTIARTL,COALINDIA,DRREDDY,HDFC,HDFCBANK,HEROMOTOCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATAMTRDVR,TATASTEEL,TCS,WIPRO,YESBANK
2008-05-29,148.300201,59.111366,97.643227,215.479187,420.177643,217.327164,631.306702,362.64389,228.648026,568.830444,194.842453,65.506012,71.221962,287.055664,51.508579,165.56955,517.360535,106.028412,719.131714,63.304577,84.988487,515.849976,50.786739,100.400894,70.503181,31.276222,657.365051,413.94342,113.57132,20.476501
2008-05-30,139.769501,60.378033,98.983253,206.441025,421.838074,217.327164,666.910706,382.905792,234.422928,545.664856,195.254166,64.766281,70.763351,297.512024,51.544106,168.881699,533.880005,103.632172,719.320007,64.090736,82.031998,502.286713,50.060143,101.438477,69.819855,31.276222,662.390808,428.041626,112.574081,20.689177
2008-06-02,136.321716,58.75951,93.492157,209.585526,422.439758,217.327164,670.363708,377.175293,225.566391,576.24762,192.331299,62.83992,66.40657,296.501068,52.06509,157.998703,522.223022,103.815506,739.831665,61.777161,78.659126,492.677094,48.35199,104.612717,68.131119,31.276222,636.824036,409.4935,109.74865,19.698912
2008-06-03,131.789825,58.177784,94.402161,208.471436,404.944366,217.327164,648.292114,366.474213,221.422943,583.153381,193.236969,62.429169,66.773468,292.192627,51.970387,162.624573,510.19754,103.352341,739.972778,62.459232,75.785912,503.364258,48.05024,104.196968,69.02095,31.276222,632.201782,407.081482,112.574081,18.927969
2008-06-04,124.867546,58.653954,92.170807,198.62468,389.518585,217.327164,624.960449,356.980377,209.924927,567.624573,189.696625,62.260624,64.38868,284.220917,51.177017,155.526978,495.227631,99.34697,702.430786,65.777878,73.537315,482.533691,46.186005,99.135521,65.656113,31.276222,598.345215,398.451965,110.202942,19.127354
2008-06-05,117.349899,58.782951,96.035156,202.775452,395.270203,217.327164,654.218262,356.563019,214.594925,562.436218,195.830521,64.186966,65.305885,300.878113,52.657185,157.535126,487.29425,98.429077,717.344116,70.683105,73.495674,470.078827,46.969856,105.111649,64.458084,31.276222,616.905884,408.7034,117.094772,19.944818
2008-06-06,113.804344,58.318504,94.763657,204.410599,386.029175,217.327164,646.985535,349.833832,213.636765,551.730408,193.977982,63.332935,64.251099,302.876373,50.478409,155.125763,480.265808,101.830658,708.452576,69.593071,72.413017,468.34375,46.307404,102.584526,65.359924,31.276222,603.920715,399.075836,111.909264,20.403397
2008-06-09,109.121361,58.778271,87.770439,197.923904,375.777405,217.327164,646.518982,328.878845,204.357208,575.11499,190.972794,61.627991,61.040855,289.380981,49.033825,154.905701,465.939758,100.571312,692.410156,64.706078,71.455292,452.39624,44.83857,105.375565,62.582226,31.276222,603.7005,380.798096,106.480026,19.23369
2008-06-10,105.158157,58.736053,84.91581,197.869995,374.213226,217.327164,650.018555,313.132721,195.25029,556.11499,192.98999,60.107876,63.379749,281.029236,47.731255,153.007629,463.709991,98.664833,697.67926,61.640133,71.163818,459.988068,44.363407,106.333618,62.073956,31.276222,602.196838,365.992767,104.93988,18.668776
2008-06-11,108.357162,60.51878,87.720581,190.395065,388.363464,217.327164,662.244385,325.957672,204.503952,591.228394,191.466797,60.93346,63.196301,287.92926,47.210274,155.259201,475.072266,100.422997,690.246094,61.588085,71.038902,472.662079,45.417778,104.280113,61.190437,31.276222,614.19165,371.315918,104.840149,18.183615
2008-06-12,105.318108,64.096252,89.228928,186.118546,394.620453,217.327164,654.031677,323.707306,200.869827,589.510986,191.38446,60.987232,65.030731,285.353455,47.352375,151.217606,484.107147,101.035179,692.833557,61.636131,71.746765,477.211365,46.465218,106.771065,61.40226,31.276222,628.607361,369.506989,107.056168,18.655481
2008-06-13,106.491066,64.859787,87.80159,181.662338,391.756714,217.327164,679.929688,317.946777,193.938217,567.843811,186.526779,62.835861,68.883057,283.240906,46.760342,149.404282,485.315918,99.766762,679.190369,62.381374,71.038902,474.39801,46.286591,106.36615,62.473347,31.276222,617.236206,377.470978,105.892792,18.575727
